Sample,Acetanaerobacterium,Acetatifactor,Acetivibrio,Acetobacteroides,Acholeplasma,Achromobacter,Acidaminococcus,Acidovorax,Acinetobacter,Actinobacillus,Actinomyces,Actinomycetospora,Actinotignum,Adlercreutzia,Advenella,Aeromicrobium,Aeromonas,Aestuariispira,Aggregicoccus,Agromyces,Akkermansia,Alcanivorax,Alishewanella,Alistipes,Allisonella,Allobaculum,Alloprevotella,Anaerobacterium,Anaerocella,Anaerococcus,Anaerofilum,Anaerofustis,Anaeroplasma,Anaerostipes,Anaerotruncus,Anaerovibrio,Anaerovorax,Anoxybacillus,Aquabacterium,Aquicella,Arcobacter,Armatimonadetes_gp2,Armatimonadetes_gp5,Arthrobacter,Atopobium,Atopostipes,Aureimonas,Bacillus,Bacteroides,Barnesiella,Bdellovibrio,Bibersteinia,Bifidobacterium,Bilophila,Blastocatella,Blastococcus,Blautia,Bosea,Brachybacterium,Brachymonas,Bradyrhizobium,Brevibacillus,Brevibacterium,Brevinema,Brevundimonas,Brucella,Brumimicrobium,Bulleidia,Burkholderia,Butyricicoccus,Butyricimonas,Butyrivibrio,Campylobacter,Candidatus_Endomicrobium,Catonella,Caulobacter,Cellulosilyticum,Cellvibrio,Centipeda,Chelativorans,Chlamydophila,Christensenella,Chryseobacterium,Chryseolinea,Cloacibacillus,Clostridium_III,Clostridium_IV,Clostridium_XI,Clostridium_XVIII,Clostridium_XlVa,Clostridium_XlVb,Clostridium_sensu_stricto,Collinsella,Comamonas,Coprobacillus,Coprobacter,Coprococcus,Corynebacterium,Cupriavidus,Curvibacter,Defluviitalea,Deinococcus,Delftia,Denitrobacterium,Desulfobulbus,Desulfomicrobium,Desulfotomaculum,Desulfovibrio,Devosia,Dialister,Dietzia,Domibacillus,Dyella,Eggerthella,Eikenella,Elusimicrobium,Empedobacter,Enhydrobacter,Enterococcus,Erysipelothrix,Erythrobacter,Escherichia,Ethanoligenens,Eubacterium,Exiguobacterium,Faecalibacterium,Faecalicoccus,Faecalitalea,Fibrobacter,Flavitalea,Flavobacterium,Flavonifractor,Fluviicola,Fretibacterium,Fusicatenibacter,Fusobacterium,Gaiella,Gemella,Gemmatimonas,Gemmiger,Gemmobacter,Globicatella,Gordonibacter,Gp16,Gp2,Gp6,Gp7,GpI,GpIIa,Granulicatella,Guggenheimella,Haemophilus,Helicobacter,Herbaspirillum,Holdemania,Howardella,Hydrogenoanaerobacterium,Hydrogenophaga,Hydrotalea,Hymenobacter,Ignatzschineria,Intestinimonas,Jeotgalibaca,Kandleria,Klebsiella,Knoellia,Labilithrix,Lachnoanaerobaculum,Lachnobacterium,Lachnospira,Lachnospiracea_incertae_sedis,Lactobacillus,Lactococcus,Lactonifactor,Lawsonia,Leadbetterella,Leifsonia,Leptotrichia,Leucobacter,Limnobacter,Lysinibacillus,Lysobacter,Macromonas,Mannheimia,Marinospirillum,Massilia,Megamonas,Megasphaera,Mesorhizobium,Methylobacterium,Methylophilus,Microbacterium,Micromonospora,Mitsuokella,Mogibacterium,Moheibacter,Moraxella,Moryella,Mucilaginibacter,Mycobacterium,Mycoplasma,Myroides,Neisseria,Nesterenkonia,Nitrolancea,Nocardioides,Nocardiopsis,Novosphingobium,Nubsella,Oceanobacillus,Odoribacter,Ohtaekwangia,Oligosphaera,Olivibacter,Olsenella,Oribacterium,Oscillibacter,Paenalcaligenes,Paenibacillus,Paludibacter,Pandoraea,Parabacteroides,Paracoccus,Paraprevotella,Parasegetibacter,Parasutterella,Parcubacteria,Parvibacter,Parvimonas,Pedobacter,Pedomicrobium,Pelomonas,Peptococcus,Peptostreptococcus,Peredibacter,Petrimonas,Phascolarctobacterium,Phenylobacterium,Planomicrobium,Porphyromonas,Prevotella,Propionibacterium,Proteiniclasticum,Proteiniphilum,Providencia,Pseudobutyrivibrio,Pseudoflavonifractor,Pseudomonas,Pseudonocardia,Pseudoramibacter,Pseudoscardovia,Pseudoxanthomonas,Psychrobacter,Pyramidobacter,Ralstonia,Rheinheimera,Rhizobacter,Rhizobium,Rhodobacter,Rhodococcus,Rhodocytophaga,Rhodoferax,Rhodoluna,Romboutsia,Roseburia,Roseimicrobium,Roseomonas,Rothia,Rubellimicrobium,Ruminobacter,Ruminococcus,Ruminococcus2,SR1,Saccharibacteria,Saccharofermentans,Saccharopolyspora,Schwartzia,Sediminibacterium,Selenomonas,Senegalimassilia,Serratia,Sharpea,Shewanella,Skermanella,Slackia,Solibacillus,Solimonas,Soonwooa,Spartobacteria,Sphaerochaeta,Sphingobacterium,Sphingobium,Sphingomonas,Sphingopyxis,Sphingorhabdus,Spirochaeta,Sporobacter,Sporosarcina,Staphylococcus,Stenotrophomonas,Stomatobaculum,Streptococcus,Streptomyces,Succiniclasticum,Succinimonas,Succinivibrio,Sulfurospirillum,Suttonella,Synergistes,Syntrophococcus,Syntrophomonas,Tahibacter,Taibaiella,Taonella,Thauera,Thermicanus,Thermoactinomyces,Thiopseudomonas,Tissierella,Treponema,Trichococcus,Turicibacter,Unclassified,Undibacterium,Ureaplasma,Vagococcus,Vampirovibrio,Variovorax,Veillonella,Vibrio,Vibrionimonas,Victivallis,Vitreoscilla,WPS_2,Wandonia,Williamsia,Yersinia,Yimella
E11,0,0,0,0,0,0.009372,0,0.068731,1.463651,0,0,0,0,0,0,0.001562,0,0,0,0.001562,0.029679,0,0,0,0,0,0,0,0,0,0.176513,0,0.001562,0,0,0,0,0,0.567028,0,0,0,0,0.192133,0.14371,0,0,0,0.121841,0.023431,0,0,2.429004,0,0,0,0,0,0,0,0.059358,0,0,0,0.174951,0,0,0.042176,0.851323,0.001562,0.003124,0.035927,2.216564,0,0,0.073417,0,0,0,0,0,0,0.288981,0,0,0,0.056234,0,0,0.034365,0.003124,0,0,0.218688,0,0.014059,0.101534,0.046862,0,0.749789,0,0,0.373333,0,0,0,0,0.062482,0,0,0,0,0,0,0,0.078103,0,0,0,0,0,52.897623,0,0.459246,0,0,0,0,0.001562,0,0.349902,0,0,0,0,0.029679,0,0,0,0,0,0,0,0,0,0,0,0.009372,0,0,0,0,0,0.009372,0.018745,0,0,0,0.021869,0,0.071855,0,0,0,0,0,0,0.003124,0,0,0,0.001562,0,0,0,0,0.051548,0.001562,0,0,0,0.085913,0,0,0,0.096848,0,0,0,0,0.042176,0,0,0.024993,0.229623,0,0,0.003124,0,0,0.126527,0.182761,0,0.190571,0,0.010934,0.004686,0.72011,0,0,0,0,0.170265,0,1.273079,0,0,0,0,0,0,0,0,0.0453,0.012496,0,0,0.059358,0,0,0,0.134337,0.001562,0,0.004686,0,0.004686,0.259302,0,0,0.076541,0,0,0,0.026555,0.015621,0,0.248368,0,0,0,0,0.087475,0,0.039052,0,0.056234,0.034365,0,0.323347,0.004686,0,0,0.014059,0,0,0,0.003124,0,0.003124,0.076541,0,0,0.510794,0.085913,0,0,0.048424,0,0.067169,0.10622,0.238995,0,0,0,0.079665,0,0.034365,0,0,0.068731,0.031241,0.313974,0,0,0,0,0,0.148396,0.099972,0,0.010934,0,0.079665,0,0.06092,0,0,0.0906,0.096848,0,0.006248,0.015621,0,0,0,0,0,0,0.043738,0,0,26.769034,0.103096,0.529539,0.028117,0.187447,0.017183,0,0.037489,0.632635,0.104658,0,0,0,0,0.017183,0
E12,0,0,0,0.018995,0.058569,0.020578,0,0.044323,0.807307,0,0,0,0,0,0.022161,0,0.02691,0,0,0.011081,0.01583,0,0,0.037991,0,0,0,0,0,0,0.01583,0,0.001583,0,0,0,0,0,0.049072,0,0.017413,0,0,0.01583,0.164627,0,0,0,0.299178,0.075982,0.003166,0,0.066484,0,0,0,0.006332,0,0,0,0.01583,0,0,0,0.055403,0.004749,0,0.001583,0.329255,0,0,0.083897,0.51446,0.011081,0,0.011081,0,0,0,0,0.028493,0,0.352999,0,0,0.028493,0.025327,0.26277,0,0.18204,0.001583,0.15513,0,0.041157,0,0.006332,0.060152,0.049072,0,0.107641,0,0,0.110807,0,0,0,0,0.041157,0,0,0.033242,0,0,0,0,0.066484,0.009498,0.071233,0,0,0,0,0,0.197869,0,0.003166,0,0.004749,0.074399,0,0.592025,0,0,0.041157,0.007915,0.001583,0.006332,0,0,0,0.011081,0,0,0,0,0,0,0.022161,0,0,0,0,0.004749,0.007915,0,0,0,0.018995,0,0,0.003166,0.004749,0,0,0.001583,0,0,0,0.030076,0,0.01583,0.012664,0.012664,0,0.011081,0.007915,0.018995,0,0.023744,0,0.012664,0,0,0,0,0.004749,0,0,0,0.087063,0.061735,0.009498,0,0.009498,0.527124,0.004749,0,0.003166,0,0.006332,4.153673,0.071233,0,0,0.003166,0,0,0.022161,0,0,0,0,0,0.516043,0.131385,0,0.04274,0,0,0,0,0.003166,0.06965,0.047489,0,0,0,0.017413,0,0.030076,0.014247,0.012664,0,0.003166,0,0,0.030076,0.009498,0,0,1.506973,0,0.028493,0,0.011081,0.060152,0,0.072816,0,0,0,0,0.4179,0,0.004749,0.037991,0.001583,0,0,0.056986,0,0,0,0.365663,0.007915,0,0,0.055403,0,0.169376,0.764567,0.001583,0,1.055831,0.349833,0,0.011081,0.007915,0.02691,0.014247,0,0.003166,0.017413,0,0.003166,0,0,0.041157,0,0.045906,0.052238,0,0.104475,0,0.031659,0,0,0,0,0.110807,0.006332,0,0,0.120305,0,0.060152,0,0,0,0.109224,0,0,0.004749,0,0.006332,0,0,0,0,0.188372,0.006332,0.147215,29.075713,0.02691,52.816868,0,0.250107,0,0,0.022161,0.036408,0.189955,0.012664,0,0,0,0,0
E13,0,0,0,0.001609,0.003217,0,0,0.006434,0.110993,0,0.008043,0,0.012869,0,0,0.006434,0,0,0,0,0.016086,0,0,0.004826,0.014477,0,0,0,0.001609,0,0.025738,0.003217,0,0.003217,0,0.001609,0,0,0.025738,0,0,0,0,0,1.053631,0,0,0.008043,0.073995,0.036998,0,0,31.880771,0,0,0,0.073995,0,0.006434,0,0.006434,0,0,0,0.01126,0.01126,0,1.378567,0.049866,0.001609,0,0.048258,0.009652,0.001609,0,0,0,0,0,0,0,0,0,0,0,0,0.024129,0.057909,0,0.053084,0,0.028955,0,0.003217,0,0,0.149599,0.004826,0,0.032172,0,0,0.027346,0.106167,0,0,0,0.004826,0.001609,0,0.003217,0,0,0,0,0,0,0,0,0.003217,0,0.003217,0,1.439694,0,0.006434,0.01126,0.001609,0.006434,0,0,0,0,0.273461,0.003217,0.01126,0,0,0,0.01126,0,0,0,0,0,0,0,0.009652,0,0,0,0,0,0,6.608114,0,0,0,0,0,0,0.123862,0,0.004826,0.004826,0,0,0,0,0.009652,0.799472,0.001609,0,0.024129,0,0,0,0,0,0,0,0,0,0,0,0.001609,0,0.004826,0.001609,0.012869,0.008043,0,0,0.006434,1.645594,0,0,0,0,0,0,0,0,0,0,0,0,0.061127,0,0,0,0,0.020912,0.004826,7.5411,0,0.009652,0,0,0,0,0,0.003217,0.001609,0,0,0,0.014477,0.004826,0,0,0.009652,0,0,0,0,0.017695,0.003217,0,0,0.773735,0.003217,0,0,0,2.512627,0,0.038606,0,0,0,0,0.024129,0.017695,0.003217,0,0.001609,0.003217,0,0.006434,0,0,0,0.078821,0.008043,0,0,0,0,0,0.855773,0.004826,0,4.471898,4.800051,0.003217,0,0.014477,0.024129,0.10295,0,0.030563,0,0,0,0,0,0,0,0.006434,0,0.009652,0.035389,0,0,0,0,0,0.003217,0,0.008043,0.01126,0,0.500273,0,0.016086,0,0,0.004826,0.292765,0,0,0,0.003217,0,0,0.004826,0,0,0.032172,0,0.032172,30.743493,0.003217,0.001609,0,0.18338,0,0,0,0.008043,0.19464,0,0,0,0,0,0
E14,0,0,0,0,0.026992,0,0,0.009527,0.169893,0,0.01429,0,0,0,0,0,0,0.695448,0,0.004763,0.001588,0,0,0.04287,0.01429,0,0.007939,0,0.011114,0,0.169893,0,0.041282,0,0,0.046046,0,0,0.019053,0,0,0,0,0.004763,0.058748,0,0,0.009527,0.1429,0.306442,0,0.001588,0.557311,0,0,0,0.012702,0,0.007939,0.001588,0.015878,0,0,0,0.019053,0.003176,0,0.011114,0.050809,0,0.001588,0.107969,0,0,0,0.004763,0,0,0.001588,0,0.001588,0.006351,0.012702,0,0,0,0.031756,0.236579,0,0.101618,0.003176,0.158778,0.001588,0.007939,0,0.001588,0.036519,0.006351,0,0.01429,0,0,0.031756,0.006351,0.01429,0.004763,0,0.139725,0.003176,0,0,0,0,0,0,0.041282,0,0,0.001588,0,0,0,0,0.638288,0,0,0.001588,0.012702,0.184183,0,0.022229,0.001588,0,0.425525,0,0.007939,0,0,0,0,0,0,0,0,0,0,0,0.006351,0,0,0,0,0.017466,0,0.007939,0,0,0,0,0,0,0.031756,0,0,0,0,0,0.001588,0,0.003176,0.574777,0.004763,0,0.004763,0.003176,0,0,0,0,0.004763,0.003176,0,0.001588,0.009527,0,0.001588,0.003176,0.007939,0,0.009527,0,0,0.004763,0.006351,0.133374,0,0,0.053985,0,0,0.620822,0.017466,0,0,0,0,0,0.031756,0,0,0,0,0.138137,0.004763,0.246106,0,0.222289,0,0,0,0,0.044458,0.001588,0.155602,0,0.019053,0,0.003176,0,0,0,0.001588,0.011114,0,0,0,0.022229,0.007939,0.001588,0,4.523586,0,0,0,0,0.055572,0,0.007939,0,0.05716,0,0.004763,0.049221,0.581128,0.006351,0,0.006351,0.01429,0,0.022229,0,0,0,0.168305,0.306442,0,0,0.004763,0,0.003176,1.894222,0,0.003176,17.017831,2.419777,0,0.061923,0.006351,0.025404,0.003176,0,0.001588,0,0,0.001588,0,0,0.004763,0,0.179419,0.001588,0,0.020641,0.003176,0,0.011114,0,0,0,0,0.009527,0,0,1.840238,0,0.209587,0,0,0,0.052397,0,0,0,0,0,0,0,0,0,1.941855,0.003176,0.246106,42.425493,0.003176,18.411902,0,0.160366,0,0,0,0.022229,0.009527,0,0,0,0,0,0
E15,0,0,0,0,0,0,0,0.001588,0.049224,0,0,0,0,0,0,0,0,0,0,0,0.012703,0,0,0.003176,0.188955,0,0,0,0,0,0.009527,0,0,0.001588,0,0.001588,0.001588,0,0.014291,0,0,0,0,0,0.02223,0,0,0,0.034933,0,0,0,0.495411,0,0,0,0.007939,0,0,0,0.007939,0,0,0,0.007939,0.001588,0,0.073041,0.038109,0,0,0.039696,0.146083,0,0,0.004764,0,0,0,0,0,0,0,0,0,0.003176,0.050811,0.061926,0,0.033345,0.001588,0.046048,0,0.009527,0,0,0.009527,0.001588,0,0.004764,0,0,0.014291,0.004764,0,0,0,0.061926,0,0.017466,0,0,0,0,0,0.047636,0,0.001588,0,0,0,0,0,0.382673,0,0.003176,0,0.003176,0.015879,0,0,0,0,0.001588,0.007939,0,0,0,0,0.001588,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007939,0.412843,0,0,0,0,0,0,0.001588,0.003176,0,0,0.003176,0,0,0,0,0.061926,0,0,0.004764,0,0,0,0,0,0,0.003176,0,0,0,0,0.001588,0,0.02223,0.001588,0.004764,0.003176,0,0,0,0.298517,0,0,0,0,0.006351,0.362031,0,0,0,0,0,0,0.020642,0,0,0,0,1.167074,0,0.281051,0,0.012703,0,0,0,0,0,0.004764,0.001588,0,0,0,0,0.003176,0,0,0.001588,0,0,0,0,0.012703,0.003176,0.001588,0,0.181016,0,0,0,0,0.052399,0.001588,0.011115,0,0.003176,0,0,0.047636,0.131792,0,0,0,0,0,0.012703,0,0,0,0.087332,0,0,0,0,0,0,0.252469,0,0,6.00686,7.990092,0,0.003176,0.004764,0,0.004764,0.001588,0.004764,0,0,0,0,0,0,0,0.006351,0,0,0.02223,0,0,0,0,0,0.001588,0.003176,0,0,0,0.15561,0,0.036521,0,0,0,0.009527,0,0,0,0,0,0,0.003176,0,0,0.025406,0,0.020642,18.806567,0.011115,61.430976,0,0.004764,0,0,0,0.003176,0.003176,0,0,0,0,0,0
E16,0,0,0,0,0,0,0,0,0.019601,0,0,0,0,0.005346,0,0,0,0.057022,0,0,0.007128,0,0,0.017819,0.001782,0,0,0,0,0,0.007128,0,0,0,0,0.122953,0.001782,0,0.001782,0,0,0,0,0.001782,0.071277,0.001782,0,0,0.10157,0.245906,0,0,0.003564,0,0.001782,0,0.014255,0,0,0.014255,0,0,0,0,0.007128,0,0,0.024947,0.017819,0.001782,0,0.140772,0.005346,0.007128,0,0,0.003564,0,0.05524,0,0,0,0,0,0,0.001782,0.379551,0.322529,0,0.049894,0.017819,11.178032,0,0,0,0,0.00891,0,0,0.010692,0,0,0.012473,0.007128,0.10157,0,0,2.06169,0,0,0,0,0,0,0,0.678914,0,0.005346,0,0,0,0,0,0.288672,0,0.005346,0,0,0.028511,0,0,0,0,6.466616,0.001782,0.012473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005346,0.062367,0,0,0,0,0,0,0.04633,0,0,0.001782,0,0,0,0,0,0.069495,0,0,0,0,0,0,0,0,0,0.001782,0,0,0,0,0,0.00891,0,0,0,0.00891,0,0,0,0.238778,0,0,0.115825,0,0,0.003564,0,0.003564,0,0,0,0,0.005346,0,0,0,0,0.215613,0.001782,0.024947,0.001782,0.04633,0,0,0,0,0.017819,0,0.114043,0,0,0,0,0,0,0,0.001782,0.001782,0,0,0,0.007128,0,0,0,7.683672,0,0,0,0,0.784048,0,0.005346,0,0,0,0,0.003564,0.315401,0,0,0,0,0,0.001782,0,0,0,0.438354,0.030293,0,0,0.003564,0,0.039202,0.402716,0.001782,0.021383,6.696484,0.559525,0,0.1479,0.007128,0.040984,0.014255,0.003564,0,0,0,0,0,0,0,0,0.021383,0,0,0.005346,0,0,0.001782,0,0,0,0.003564,0.05524,0.001782,0,5.051765,0,0.386678,0,0.001782,0.003564,0.03742,0,0,0,0,0,0,0.003564,0,0,0.069495,0,0.155028,52.673782,0.010692,0,0,0.424099,0,0,0,0.001782,0.283327,0,0,0,0,0,0
E17,0,0,0,0,0,0,0,0.025233,0.471534,0,0,0.006308,0,0,0,0.004731,0,0.004731,0,0,0.003154,0,0,0,0,0,0,0,0,0,0.003154,0,0,0.023656,0,0.009462,0,0,0.10093,0,0,0,0,0.089891,0.19713,0.003154,0,0.001577,0.082006,0.386374,0,0,0.118278,0,0.004731,0,0.031541,0,0,0,0.086737,0,0,0,0.189245,0.029964,0,0,0.230248,0,0,0.124586,0.342217,0,0,0.055196,0,0,0,0,0.011039,0,0.022079,0,0,0,0.041003,1.088156,0,0.003154,0,21.249014,0.037849,0.014193,0,0,0.012616,0.083583,0,0.118278,0,0,0.017347,0,0,0,0,0.099353,0,0,0,0,0,0,0,0.001577,0,0,0,0,0,0.012616,0,0.651317,0,0.014193,0.001577,0.031541,0.12774,0,0.007885,0,0,0.012616,0.018924,0.004731,0,0,0,0,0,0,0,0,0,0,0,0.011039,0,0,0,0.009462,0,0,0.173474,0,0,0,0,0,0,0.001577,0,0.014193,0,0,0,0.003154,0,0,0.10093,0.001577,0,0,4.021448,0,0.003154,0.001577,0.006308,0,0,0,0.003154,0,0,0.025233,0,0.086737,0,0.034695,0.001577,0.004731,0,0.093045,1.14493,0,0,0.018924,0,0,0.97461,0,0,0.02681,0,0,0,0.078852,0,0.022079,0.053619,0,4.773695,0.001577,0.775903,0,0.004731,0,0.014193,0,0.014193,0.055196,0,0,0,0,0,0,0,0,0,0.039426,0,0,0,0,0.001577,0.096199,0.012616,0,3.266046,0,0,0,0,0.009462,0,0.041003,0,0,0,0,0.028387,0.146665,0,0,0.01577,0.011039,0,0.044157,0,0,0,1.233244,0.022079,0,0,0.003154,0,0.009462,1.348368,0,0,2.362403,4.690112,0,0,0.105662,0.012616,0.047311,0.014193,0.004731,0,0,0,0,0,0,0,0.052042,0,0,0.148242,0,0,0,0,0,0,0.052042,0.011039,0.018924,0,0.465226,0,0.365873,0,0,0,0.118278,0,0,0,0,0,0,0,0,0,0.274405,0,0.246018,34.86674,0.067813,10.480997,0,0.189245,0,0,0,0.075698,0.137202,0,0,0,0,0,0
E18,0,0,0,0,0.00368,0,0,0.023921,0.785721,0,0,0.025761,0,0,0,0,0,0.029442,0,0.018401,0.018401,0,0,0.023921,0.064403,0,0,0,0,0,0.00736,0,0,0,0,0,0.020241,0,0.047842,0,0,0,0,0.020241,0.149048,0,0,0,0.051523,0.110406,0.099365,0,0.165609,0,0,0,0.025761,0,0,0,0.068084,0,0,0,0.152728,0.049683,0.0092,0.031282,1.078296,0,0,0.095685,0.559389,0,0,0.038642,0,0,0,0,0.034962,0.012881,0.029442,0,0,0,0.036802,0.57963,0,0.18953,0.036802,0.526267,0.058883,0.150888,0,0,0.00552,0,0,0.38642,0,0,0.242893,0.00184,0,0,0,0.180329,0,0.090165,0,0,0,0,0,1.109578,0,0.027601,0,0,0,0.020241,0,0.104885,0,0.0092,0.00184,0,0,0,0,0,0,0.106726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022081,0,0,0,0,0,0.027601,0.485785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033122,0.00184,0,0,0,0,0.0092,0,0,0,0,0,0,0,0,0.034962,0,0,0,0.046002,0.060723,0.014721,0,0.051523,0.546508,0,0,0,0,0,0.00552,0,0,0.014721,0,0,0,0.18401,0,0,0,0,0.252093,0,0.686356,0,0.069924,0,0,0,0,0,0,0.00184,0,0,0,0,0,0,0,0.042322,0,0,0,0,0.042322,0.055203,0,0,0.586991,0,0,0,0,0.053363,0,0.230012,0,0,0,0.023921,0.121446,0.022081,0,0,0.011041,0,0,0.036802,0,0,0,0.918208,0.029442,0,0,0.00184,0,0,0.439783,0.00184,0,6.449535,0.353298,0,0.068084,0.123286,0,0.018401,0.055203,0,0,0,0,0,0,0,0,0,0,0,0.237372,0.022081,0,0,0,0,0.0092,0.025761,0,0.022081,0,0.296255,0,0.018401,0,0,0,0.066243,0,0,0,0,0,0,0,0.029442,0,0.031282,0,0.250253,29.088233,0.090165,49.378968,0,0.277854,0.00736,0,0,0.19873,0,0,0,0,0,0,0
L1,0.004758,0,0.003172,0,0.039649,0.006344,0,0.003172,0.107846,0,0,0,0,0,0,0,0.006344,0,0,0.003172,0.095158,0,0,0.306092,0.006344,0.001586,0,0.001586,0.00793,0.009516,0.095158,0.012688,0.004758,0,0.011102,0.009516,0.004758,0,0.019032,0,0,0,0,0,0.226793,0,0,0.011102,1.470192,0.033305,0,0,0.055509,0,0,0,0.034891,0.009516,0,0,0.003172,0,0,0,0.036477,0,0,0.142737,0.07454,0.004758,0.0904,0.537643,0.137979,0,0,0.006344,0,0,0,0,0.00793,0.038063,0.01586,0,0,0.019032,0.101502,0.266443,0,0.883384,0.030133,5.907728,0,0.00793,0,0.011102,0.08247,0.011102,0,0.050751,0,0,0.041235,0.006344,0,0,0,0.17287,0,0,0,0,0,0,0,0.022204,0,0.019032,0,0.00793,0,0.261685,0,2.353576,0,0.001586,0.104674,0,0.325123,0,0.047579,0.006344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01586,0,0,0,0.001586,0.006344,0,2.293309,0,0.001586,0,0,0.004758,0,0.001586,0,0,0.003172,0,0,0,0,0.00793,0.39332,0.02379,0,0.009516,0,0,0.001586,0.004758,0,0,0,0,0,0,0,0.003172,0.001586,0.041235,0.003172,0.028547,0.028547,0,0,0.058681,0.837391,0,0,0.01586,0,0,3.006994,0,0,0,0,0,0,0.022204,0,0.00793,0,0,0,0.063439,1.592311,0,0.550331,0,0,0.003172,0,0.01586,0.001586,0.320365,0,0.006344,0,0.00793,0,0,0,0.011102,0.011102,0,0,0,0.529713,0.020618,0.00793,0,2.405912,0.004758,0,0,0,0,0.003172,0.034891,0,0.261685,0,0,0.012688,0.045993,0.001586,0,0,0.012688,0,0.00793,0,0.004758,0,1.091146,0.001586,0,0,0.004758,0,0.017446,0.418695,0,0,0.524955,0.087228,0,0.123705,0.012688,0.01586,0.226793,0.004758,2.340888,0,0,0,0,0,0,0,0.061853,0.006344,0,0.036477,0.009516,0,0,0.004758,0,0,0.019032,0,0.006344,0,0.10626,0,0.077712,0,0,0,0.144323,0,0,0,0,0,0,0,0,0,2.943555,0,0.099916,35.420995,0.014274,28.660016,0,0.042821,0.009516,0.001586,0,0.025375,0.234723,0.003172,0,0,0,0,0
L2,0,0,0,0,0,0,0.003177,0.006354,0.076247,0,0.003177,0,0,0,0,0.001588,0,0,0,0,0.46225,0,0,0.025416,0.004765,0,0.003177,0,0,0,0.006354,0,0.004765,0.004765,0.009531,0.001588,0,0,0.009531,0.006354,0,0,0,0.001588,7.152955,0,0,0.003177,0.358998,0.028593,0,0,0.044478,0,0,0,0.068305,0,0.003177,0,0.014296,0,0.019062,0,0,0,0,0.05242,0.077836,0.003177,0,0.95468,0.03177,0,0.001588,0.004765,0,0,0,0,0,0,0.006354,0.006354,0,0,0.179499,0.017473,0.001588,0.214446,0.02065,0.027004,0.006354,0.02065,0,0,0.257335,0.012708,0.003177,0.004765,0,0,0.015885,0.025416,0.011119,0,0,0.142964,0.006354,0,0.017473,0,0,0,0,0,0,0,0.012708,0,0,0.014296,0,1.915715,0,0.03177,0,0.163614,0.219211,0,0,0.030181,0,0.506727,0.015885,0.009531,0.019062,0,0.011119,0.007942,0,0,0,0.011119,0,0.039712,0.006354,0.074659,0.004765,0,0,0,0,0.007942,3.116611,0,0,0,0,0,0,0.022239,0,0.36694,0.006354,0.015885,0,0,0,0,0.943561,0,0,0.058774,0,0,0,0,0,0,0,0,0.001588,0,0,0.001588,0.009531,0.447953,0,0,0.004765,0.003177,0,0.231919,1.065875,0,0,0.012708,0,0.003177,0,0,0,0,0.003177,0.015885,0,0.03177,0,0,0,0,0.007942,0,5.723317,0,0.179499,0,0,0.003177,0,0.006354,0.006354,0.243038,0.003177,0.007942,0.003177,0.007942,0.001588,0,0,0.047655,0,0,0,0,0.030181,0,0.001588,0,10.939908,0,0,0,0,0.001588,0.003177,0.019062,0.003177,0.114371,0,0,0,0.365352,0,0,0,0,0,0.004765,0,0,0,0.015885,0.019062,0.003177,0,0.006354,0,0,0.919734,0,0,9.561101,2.97047,0,0.12549,0.004765,0.082601,0.057186,0.012708,0.872079,0,0.003177,0,0,0.004765,0,0.003177,0.405064,0,0,0.058774,0,0,0,0,0,0,0.003177,0,0.003177,0,1.297794,0,0.009531,0,0,0,0.065128,0,0,0,0,0,0,0,0,0,0.891141,0,0.003177,44.822328,0.041301,0.009531,0,0.047655,0,0,0,0.022239,0,0,0,0.004765,0,0.015885,0
